"occupation","1997","1997","1997","1997","1997","2017","2017","2017","2017","2017"
"occupation","total employed","male","male","female","female","total","male","male","female","female"
"occupation","total employed","number","%","number","%","employed","number","%","number","%"
"all occupations","518450","399100","77","119350","23","815100","527850","64.8","287250","35.2"
"s&e occupations","388900","302150","77.7","86750","22.3","568650","380400","66.9","188200","33.1"
"biological, agricultural and other life scientist","97550","71350","73.1","26200","26.9","144550","85400","59.1","59150","40.9"
"computer scientist","25950","22600","87","3350","13","54750","45450","83","9300","17"
"mathematical scientist","19400","16250","83.7","3150","16.3","38350","27600","72","10750","28"
"physical and related scientist","72250","63100","87.4","9150","12.6","83300","63950","76.7","19350","23.3"
"psychologist","60650","32200","53.1","28450","46.9","74150","30150","40.6","44050","59.4"
"social scientist","43350","31550","72.8","11800","27.2","65600","36950","56.3","28650","43.7"
"engineers","69750","65100","93.4","4650","6.6","107900","90950","84.3","16950","15.7"
"s&e-related occupationsa","29500","18350","62.3","11100","37.7","97650","56600","58","41050","42"
"non-s&e occupations","100100","78600","78.5","21500","21.5","148800","90800","61","57950","39"
