"year","team","games","games","tackles","tackles","tackles","tackles","interceptions","interceptions","interceptions","interceptions","interceptions","interceptions","fumbles"
"year","team","g","gs","total","ast","sck","sfty","int","yds","avg","lng","td","pd","ff"
"2010","nyg","16","0","30","24","4.5","0","-","-","-","-","-","6","2"
"2011","nyg","16","12","93","72","16.5","1","-","-","-","-","-","7","2"
"2012","nyg","16","15","66","43","6.5","0","1","28","28","28","1","5","1"
"2013","nyg","16","6","27","20","2.0","0","1","24","24","24","1","4","0"
"2014","nyg","16","16","77","53","12.5","0","-","-","-","-","-","6","3"
"2015","nyg","8","8","26","21","1.0","0","-","-","-","-","-","6","0"
"2016","nyg","12","12","53","35","7.0","0","-","-","-","-","1","8","3"
"2017","nyg","16","16","48","20","8.5","0","-","-","-","-","0","5","2"
"2018","tb","16","16","46","8","12.5","0","-","-","-","-","0","0","1"
"career","career","126","100","355","130","71.0","1","2","52","26","28","3","47","14"
