"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"bk hacken","2015","allsvenskan","11","1","1","0","-","-","12","1"
"bk hacken","2016","allsvenskan","10","0","2","0","1","0","9","0"
"ljungskile sk","2016","superettan","1","1","1","0","-","-","2","1"
"ljungskile sk","total","total","1","1","1","0","0","0","2","1"
"bk hacken","2017","allsvenskan","22","0","2","0","-","-","24","0"
"bk hacken","total","total","43","1","4","0","1","0","48","1"
"malmo ff","2018","allsvenskan","18","0","4","0","2","0","24","0"
"malmo ff","2019","allsvenskan","0","0","1","0","0","0","1","0"
"malmo ff","total","total","18","0","5","0","2","0","25","0"
"ifk norrkoping","2019","allsvenskan","0","0","0","0","0","0","0","0"
"ifk norrkoping","total","total","0","0","0","0","0","0","0","0"
"career total","career total","career total","62","2","10","0","3","0","75","2"
