"club","season","league","league","league","scottish cup","scottish cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"heart of midlothian","2006-07","scottish premier league","0","0","0","0","0","0","0","0","0","0"
"heart of midlothian","2007-08","scottish premier league","0","0","0","0","0","0","-","-","0","0"
"heart of midlothian","2008-09","scottish premier league","7","0","0","0","0","0","-","-","7","0"
"heart of midlothian","2009-10","scottish premier league","9","0","0","0","0","0","0","0","9","0"
"heart of midlothian","2010-11","scottish premier league","7","0","1","0","0","0","-","-","8","0"
"heart of midlothian","2011-12","scottish premier league","18","0","7","0","0","0","1","0","26","0"
"heart of midlothian","2012-13","scottish premier league","38","0","1","0","4","0","2","0","45","0"
"heart of midlothian","2013-14","scottish premiership","37","0","1","0","3","0","-","-","41","0"
"heart of midlothian","total","total","116","0","10","0","7","0","3","0","136","0"
"queen of the south","2006-07","scottish first division","14","0","2","0","0","0","0","0","16","0"
"queen of the south","2007-08","scottish first division","34","0","6","0","0","0","0","0","40","0"
"queen of the south","total","total","48","0","8","0","0","0","0","0","56","0"
"falkirk","2014-15","scottish championship","36","0","5","0","3","0","3","0","47","0"
"kilmarnock","2015-16","scottish premiership","37","0","3","0","1","0","2","0","43","0"
"kilmarnock","2016-17","scottish premiership","24","0","0","0","2","0","-","-","26","0"
"kilmarnock","2017-18","scottish premiership","35","0","3","0","5","0","-","-","43","0"
"kilmarnock","2018-19","scottish premiership","0","0","0","0","4","0","-","-","4","0"
"kilmarnock","total","total","96","0","6","0","12","0","2","0","116","0"
"career total","career total","career total","297","0","29","0","22","0","8","0","356","0"
