"year","team","games","games","passing","passing","passing","passing","passing","passing","passing","rushng","rushng","rushng","rushng"
"year","team","gp","gs","comp","att","pct","yds","td","int","rtg","att","yds","avg","td"
"1995","hou","4","2","41","80","51.3","569","3","1","81.7","11","38","3.5","0"
"1996","hou","9","4","88","143","61.5","1,197","6","4","90.6","31","169","5.5","2"
"1997","tno","16","16","216","415","52.0","2,665","14","13","70.4","101","674","6.7","8"
"1998","tno","16","16","289","492","58.7","3,228","15","10","80.1","77","559","7.3","4"
"1999","ten","11","11","187","331","56.5","2,179","12","8","57.6","72","337","4.7","8"
"2000","ten","16","15","248","396","62.6","2,847","15","13","83.2","72","403","5.6","0"
"2001","ten","15","15","264","431","61.3","3,350","21","12","90.2","75","414","5.5","4"
"2002","ten","16","16","301","492","61.2","3,387","22","15","84.0","82","440","5.4","3"
"2003","ten","14","14","250","400","62.5","3,215","24","7","100.4","38","138","3.6","4"
"2004","ten","8","8","129","215","60.0","1,343","8","9","73.1","23","128","5.6","1"
"2005","ten","14","14","292","476","61.3","3,161","16","11","82.4","32","139","4.3","1"
"2006","bal","16","16","295","468","63.0","3,050","16","12","82.5","45","119","2.6","1"
"2007","bal","6","6","133","205","64.9","1,113","2","4","73.9","10","32","3.2","0"
"career","career","161","153","2,733","4,544","60.1","31,304","174","119","82.8","669","3,590","5.4","37"
