"year","team","games","games","tackles","tackles","tackles","tackles","tackles","interceptions","interceptions","interceptions","interceptions","interceptions","interceptions","punt returns","punt returns","punt returns","punt returns","punt returns","fumbles","fumbles","fumbles"
"year","team","gp","gs","cmb","tot","ast","sck","sfty","pd","int","yds","avg","lng","td","ret","rety","avg","lng","td","fmb","td","ff"
"2002","bal","16","16","85","71","14","1.0","0","7","5","167","33.4","59","0","-","-","-","-","-","1","0","0"
"2003","bal","16","15","71","59","12","1.0","0","9","7","132","18.9","54t","1","5","33","6.6","19","0","1","0","1"
"2004","bal","16","16","76","62","14","2.0","0","8","9","358","39.8","106t","1","-","-","-","-","-","1","1","3"
"2005","bal","10","10","37","33","4","0.0","-","8","1","23","23.0","23","0","-","-","-","-","-","0","0","0"
"2006","bal","16","16","59","51","8","0.0","1","4","5","70","14.0","37","1","-","-","-","-","-","0","0","1"
"2007","bal","16","16","39","29","10","0.0","0","13","7","130","18.6","32","0","10","94","9.4","63t","1","2","0","0"
"2008","bal","16","16","41","34","7","1.0","0","16","9","264","29.3","107t","2","1","8","8.0","8","0","1","1","1"
"2009","bal","12","12","50","42","8","0.0","0","5","3","111","37.0","52t","1","7","29","4.1","9","0","1","0","3"
"2010","bal","10","10","37","30","7","0.0","-","16","8","183","22.9","44","0","3","11","3.7","9","0","2","0","1"
"2011","bal","16","16","52","44","8","1.0","-","8","3","25","8.3","16","0","3","29","9.7","16","0","0","0","1"
"2012","bal","16","16","58","49","9","0.0","0","15","4","78","19.5","34t","1","1","1","1.0","1","0","0","0","0"
"2013","hou / nyj","14","10","38","27","11","0.0","-","4","3","49","16.3","25","0","-","-","-","-","-","0","0","0"
"career","career","174","169","643","531","112","6.0","1","113","64","1,590","24.8","107","7","30","205","6.8","63","1","11","2","11"
