"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"wolverhampton wanderers","1961-62","first division","1","0","1","0","0","0","2","0"
"wolverhampton wanderers","1962-63","first division","15","0","0","0","0","0","15","0"
"wolverhampton wanderers","1963-64","first division","21","0","1","0","0","0","22","0"
"wolverhampton wanderers","1964-65","first division","7","0","0","0","0","0","7","0"
"wolverhampton wanderers","1965-66","second division","1","0","0","0","0","0","1","0"
"wolverhampton wanderers","total","total","45","0","2","0","0","0","47","0"
"stockport county","1965-66","fourth division","23","1","0","0","0","0","23","1"
"stockport county","1966-67","fourth division","37","1","3","0","1","0","41","1"
"stockport county","1967-68","third division","37","3","2","0","3","0","42","3"
"stockport county","1968-69","third division","46","12","3","0","3","0","52","12"
"stockport county","1969-70","third division","33","3","4","0","1","0","38","3"
"stockport county","total","total","176","20","12","0","8","0","196","20"
"blackburn rovers","1969-70","second division","11","2","0","0","0","0","11","2"
"blackburn rovers","1970-71","second division","40","2","1","0","1","0","42","2"
"blackburn rovers","1971-72","third division","13","0","0","0","3","0","16","0"
"blackburn rovers","total","total","64","4","1","0","4","0","69","4"
"southport","1971-72","fourth division","12","0","1","0","0","0","13","0"
"port vale","1972-73","third division","27","2","1","0","2","0","30","2"
"macclesfield town","1973-74","northern premier league","32","6","5","0","13","1","50","7"
"stockport county","1974-75","fourth division","29","1","2","0","0","0","31","0"
"career total","career total","career total","385","33","24","0","27","1","436","34"
