"type of offence","aboriginal people,","aboriginal people,","non-aboriginal people,","non-aboriginal people,"
"type of offence","number","rate","number","rate"
"sexual assault","56","58","577","20"
"robbery","14","15","176","6"
"physical assault","88","90","1,341","47"
"total violent victimization","159","163","2,094","74"
"break and enter","21","74","391","30"
"motor vehicle/parts theft","5","18","231","18"
"theft of household property","28","97","684","52"
"vandalism","16","55","514","39"
"total household victimization","70","244","1,820","138"
"theft of personal property","98","101","2,062","72"
