"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","single","can","aus","bel","fin","ger","ire","nz","uk","us","certifications","album"
"1991","superman's song","4","87","-","-","-","-","-","-","56","none","the ghosts that haunt me"
"1991","the ghosts that haunt me","23","-","-","-","-","-","-","-","-","none","the ghosts that haunt me"
"1991","androgynous","73","-","-","-","-","-","-","-","-","none","the ghosts that haunt me"
"1992",""the first noel" / "winter song"","-","-","-","-","-","-","-","-","-","none","a lump of coal / the ghosts that haunt me"
"1993","mmm mmm mmm mmm","14","1","1","20","1","3","4","2","4","aus: platinum ger: gold nor: platinum uk: silver us: gold","god shuffled his feet"
"1994","swimming in your ocean","6","-","-","-","-","-","-","-","-","none","god shuffled his feet"
"1994","afternoons & coffeespoons","7","40","42","16","39","23","41","23","66","none","god shuffled his feet"
"1994","god shuffled his feet","14","70","-","-","-","-","-","-","-","none","god shuffled his feet"
"1995","the ballad of peter pumpkinhead","4","-","-","-","73","-","-","30","-","none","dumb and dumber soundtrack"
"1996","he liked to feel it","2","-","-","-","-","-","-","-","-","none","a worm's life"
"1997","my own sunrise","33","-","-","-","-","-","-","-","-","none","a worm's life"
"1997",""my enemies" √","71","-","-","-","-","-","-","-","-","none","a worm's life"
"1999","keep a lid on things","5","-","-","-","-","-","-","-","-","none","give yourself a hand"
"1999","get you in the morning","45","-","-","-","-","-","-","-","-","none","give yourself a hand"
"1999",""give yourself a hand" √","-","-","-","-","-","-","-","-","-","none","give yourself a hand"
"2001","every morning","-","-","-","-","-","-","-","-","-","none","i don't care that you don't mind"
"2001",""on and on" √","-","-","-","-","-","-","-","-","-","none","i don't care that you don't mind"
"2001","the day we never met","-","-","-","-","-","-","-","-","-","none","i don't care that you don't mind"
"2002",""white christmas" √","-","-","-","-","-","-","-","-","-","none","jingle all the way"
"2003",""i'm the man" / "flying feeling" √","-","-","-","-","-","-","-","-","-","none","puss 'n' boots"
"2003",""flying feeling" √","-","-","-","-","-","-","-","-","-","none","puss 'n' boots"
"2004",""the unforgiven ones" √","-","-","-","-","-","-","-","-","-","none","songs of the unforgiven"
"2004",""and so will always be" √","-","-","-","-","-","-","-","-","-","none","songs of the unforgiven"
"2010",""and it's beautiful" √","-","-","-","-","-","-","-","-","-","none","oooh la la!"
"2010",""now you see her" √","-","-","-","-","-","-","-","-","-","none","oooh la la!"
"2015","promised land","-","-","-","-","-","-","-","-","-","none","non-album single"
"2016","i'll be peaceful then","-","-","-","-","-","-","-","-","-","none","non-album single"
""-" indicates the single didn't chart or wasn't released in given country. "√" indicates the single was a promotional-only release",""-" indicates the single didn't chart or wasn't released in given country. "√" indicates the single was a promotional-only release",""-" indicates the single didn't chart or wasn't released in given country. "√" indicates the single was a promotional-only release",""-" indicates the single didn't chart or wasn't released in given country. "√" indicates the single was a promotional-only release",""-" indicates the single didn't chart or wasn't released in given country. "√" indicates the single was a promotional-only release",""-" indicates the single didn't chart or wasn't released in given country. "√" indicates the single was a promotional-only release",""-" indicates the single didn't chart or wasn't released in given country. "√" indicates the single was a promotional-only release",""-" indicates the single didn't chart or wasn't released in given country. "√" indicates the single was a promotional-only release",""-" indicates the single didn't chart or wasn't released in given country. "√" indicates the single was a promotional-only release",""-" indicates the single didn't chart or wasn't released in given country. "√" indicates the single was a promotional-only release",""-" indicates the single didn't chart or wasn't released in given country. "√" indicates the single was a promotional-only release",""-" indicates the single didn't chart or wasn't released in given country. "√" indicates the single was a promotional-only release",""-" indicates the single didn't chart or wasn't released in given country. "√" indicates the single was a promotional-only release"
