"municipalities","as a percentage of immigrant women in each cma","as a percentage of total female population in each cma / municipality"
"municipalities","percentage","percentage"
"toronto cma","100.0","47.3"
"toronto","50.0","50.2"
"mississauga","14.5","54.0"
"brampton","10.2","51.9"
"markham","6.8","59.4"
"vaughan","5.2","47.4"
"vancouver cma","100.0","41.6"
"vancouver","28.7","46.1"
"surrey","20.1","41.7"
"burnaby","12.3","53.1"
"richmond","12.4","61.2"
"coquitlam","5.6","42.6"
"montreal cma","100.0","22.6"
"montreal","63.6","33.4"
"laval","11.3","24.4"
"longueuil","3.9","14.5"
"terrebonne","0.8","6.5"
"repentigny","0.6","6.7"
"calgary cma","100.0","26.8"
"calgary","95.4","28.3"
"airdrie","1.2","9.3"
"rocky view county","1.6","14.1"
"cochrane","0.6","11.4"
"chestermere","1.1","23.7"
