"club","season","league","league","league","national cup","national cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"east fife","1934-35","scottish second division","31","0","1","0","-","-","32","0"
"east fife","1935-36","scottish second division","33","0","1","0","-","-","34","0"
"east fife","1936-37","scottish second division","31","0","3","0","-","-","34","0"
"east fife","total","total","95","0","5","0","-","-","100","0"
"brentford","1937-38","first division","35","0","4","0","1","0","40","0"
"brentford","1938-39","first division","42","0","1","0","-","-","43","0"
"brentford","1945-46","-","-","-","8","0","-","-","8","0"
"brentford","1946-47","first division","42","0","4","0","-","-","46","0"
"brentford","1947-48","second division","40","0","2","0","-","-","42","0"
"brentford","1948-49","second division","41","0","4","0","-","-","45","0"
"brentford","total","total","200","0","23","0","1","0","224","0"
"career total","career total","career total","295","0","28","0","1","0","324","0"
