"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"independiente","2012-13","primera division","7","0","1","0","-","-","0","0","0","0","8","0"
"independiente","2013-14","primera b nacional","22","0","0","0","-","-","0","0","22","0","none","none"
"independiente","2014","primera division","15","0","2","0","-","-","0","0","17","0","none","none"
"independiente","2015","primera division","0","0","1","0","-","-","0","0","0","0","1","0"
"independiente","2016","primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"independiente","2016-17","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"independiente","total","total","44","0","4","0","-","-","0","0","0","0","48","0"
"atletico tucuman","2016","primera division","12","0","0","0","-","-","0","0","12","0","none","none"
"atletico tucuman","2016-17","primera division","10","0","1","0","-","-","0","0","0","0","11","0"
"atletico tucuman","total","total","22","0","1","0","-","-","0","0","0","0","23","0"
"huracan","2016-17","primera division","0","0","0","0","-","-","1","0","0","0","1","0"
"career total","career total","career total","66","0","5","0","-","-","1","0","0","0","72","0"
