"","manufacturing","manufacturing","wholesale trade","wholesale trade"
"","canadian-owned","immigrant-owned","canadian-owned","immigrant-owned"
"share in imports","91.60","8.40","87.32","12.68"
"firm extensive margin","","","",""
"coefficient","0.507","0.462","0.503","0.467"
"standard error","0.017","0.016","0.015","0.011"
"product extensive margin","","","",""
"coefficient","0.371","0.375","0.373","0.378"
"standard error","0.003","0.008","0.003","0.005"
"density","","","",""
"coefficient","-0.399","-0.407","-0.376","-0.394"
"standard error","0.031","0.025","0.029","0.021"
"intensive margin","","","",""
"coefficient","0.522","0.571","0.501","0.549"
"standard error","0.015","0.017","0.013","0.013"
