"club","season","league","league","league","fa cup","fa cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"arsenal","1983-84","first division","3","0","0","0","0","0","-","-","3","0","none","none"
"arsenal","1984-85","first division","16","0","1","0","1","0","-","-","18","0","none","none"
"arsenal","1985-86","first division","10","0","0","0","0","0","-","-","10","0","none","none"
"arsenal","1986-87","first division","42","6","4","0","9","0","-","-","55","6","none","none"
"arsenal","1987-88","first division","39","2","4","0","8","0","-","-","51","2","none","none"
"arsenal","1988-89","first division","36","4","2","0","5","0","-","-","43","4","none","none"
"arsenal","1989-90","first division","38","5","3","0","4","0","-","-","1","0","46","5"
"arsenal","1990-91","first division","30","1","3","1","4","2","-","-","37","4","none","none"
"arsenal","1991-92","first division","35","2","1","0","3","0","4","0","1","0","44","2"
"arsenal","1992-93","premier league","35","0","8","0","9","0","-","-","52","2","none","none"
"arsenal","1993-94","premier league","35","0","3","2","2","0","8","2","1","0","49","4"
"arsenal","1994-95","premier league","27","3","1","0","4","1","10","0","-","-","42","4"
"arsenal","1995-96","premier league","21","1","2","0","5","2","-","-","28","3","none","none"
"arsenal","1996-97","premier league","28","3","3","0","3","0","1","0","-","-","35","3"
"arsenal","1997-98","premier league","26","3","6","0","2","0","2","0","-","-","36","3"
"arsenal","1998-99","premier league","26","1","5","0","0","0","5","1","1","0","37","2"
"arsenal","1999-2000","premier league","21","0","1","1","0","0","11","0","0","0","33","1"
"arsenal","2000-01","premier league","26","1","4","1","0","0","8","0","-","-","38","2"
"arsenal","2001-02","premier league","10","0","3","1","0","0","0","0","-","-","13","1"
"career total","career total","career total","504","32","54","8","59","5","49","3","4","0","670","48"
