"club","season","league","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"hull city","1952-53","second division","0","0","0","0","-","-","0","0"
"hull city","1953-54","second division","8","3","0","0","-","-","8","3"
"hull city","total","total","8","3","0","0","-","-","8","3"
"york city","1954-55","third division north","39","19","8","4","-","-","47","23"
"york city","1955-56","third division north","27","10","5","1","-","-","32","11"
"york city","1956-57","third division north","38","17","3","1","-","-","41","18"
"york city","1957-58","third division north","41","10","5","2","-","-","46","12"
"york city","1958-59","fourth division","27","9","1","0","-","-","28","9"
"york city","1959-60","third division","37","14","3","0","-","-","40","14"
"york city","1960-61","fourth division","35","11","6","4","1","0","42","15"
"york city","1961-62","fourth division","18","3","1","0","4","0","23","3"
"york city","1962-63","fourth division","38","15","4","2","0","0","42","17"
"york city","1963-64","fourth division","27","10","1","2","3","0","31","12"
"york city","1964-65","fourth division","23","9","2","0","0","0","25","9"
"york city","1965-66","third division","4","0","0","0","0","0","4","0"
"york city","total","total","354","127","39","16","8","0","401","143"
"career total","career total","career total","362","130","39","16","8","0","409","146"
