"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"walsall","1961-62","second division","25","0","4","0","0","0","29","0"
"walsall","1962-63","second division","41","0","1","0","1","0","43","0"
"walsall","total","total","66","0","5","0","1","0","72","0"
"shrewsbury town","1963-64","third division","39","0","1","0","1","0","41","0"
"shrewsbury town","1964-65","third division","43","0","6","0","2","0","51","0"
"shrewsbury town","1965-66","third division","42","0","8","0","3","0","53","0"
"shrewsbury town","1966-67","third division","46","0","3","0","3","0","52","0"
"shrewsbury town","1967-68","third division","46","0","5","0","1","0","52","0"
"shrewsbury town","1968-69","third division","6","0","0","0","1","0","7","0"
"shrewsbury town","total","total","222","0","23","0","11","0","256","0"
"wolverhampton wanderers","1968-69","first division","10","0","0","0","0","0","10","0"
"bolton wanderers","1969-70","second division","22","0","1","0","0","0","23","0"
"bolton wanderers","1970-71","second division","29","0","1","0","3","0","33","0"
"bolton wanderers","total","total","51","0","2","0","3","0","56","0"
"port vale","1972-73","third division","44","0","3","0","2","0","49","0"
"port vale","1973-74","third division","42","0","4","0","0","0","46","0"
"port vale","total","total","86","0","7","0","2","0","95","0"
"career total","career total","career total","435","0","37","0","17","0","479","0"
