"","age group","age group","age group","disability type","disability type"
"","all","25 to 44","45 to 64","physical-sensory","combined"
"","predicted probability","predicted probability","predicted probability","predicted probability","predicted probability"
"family composition","","","","",""
"couple, one with a disability","0.08","0.08","0.07","0.07","0.12"
"couple, both with a disability","0.19","0.17","0.21","0.16","0.30"
"lone parent with child under 25","0.48","0.61","0.35","0.32","0.64"
"other family types or living with non-relatives","0.17","0.09","0.20","0.16","0.21"
"persons living alone","0.46","0.26","0.52","0.36","0.60"
"age group","","","","",""
"25 to 44","0.17","..","..","0.14","0.26"
"45 to 64","0.17","..","..","0.12","0.31"
"sex","","","","",""
"male","0.16","0.16","0.16","0.12","0.29"
"female","0.18","0.14","0.19","0.14","0.30"
"region","","","","",""
"atlantic","0.17","0.17","0.17","0.15","0.23"
"quebec","0.19","0.20","0.19","0.15","0.44"
"ontario","0.22","0.20","0.21","0.16","0.35"
"prairies","0.08","0.05","0.09","0.07","0.10"
"british columbia","0.17","0.19","0.15","0.10","0.36"
"education level","","","","",""
"less than a high school diploma","0.28","0.28","0.27","0.24","0.33"
"high school diploma","0.20","0.28","0.15","0.16","0.32"
"postsecondary below a bachelor degree","0.14","0.11","0.15","0.10","0.29"
"bachelor degree or more","0.13","0.08","0.16","0.10","0.24"
"immigration status","","","","",""
"non-immigrant","0.18","0.14","0.18","0.13","0.31"
"immigrant","0.15","0.26","0.12","0.13","0.20"
"disability type","","","","",""
"physical-sensory disability","0.14","0.12","0.15","..",".."
"mental-cognitive disability","0.25","0.22","0.27","..",".."
"combined disabilities","0.22","0.16","0.22","..",".."
"disability severity class","","","","",""
"mild disability","0.14","0.13","0.14","0.10","0.23"
"more severe disability","0.21","0.19","0.21","0.17","0.31"
"age at onset","","","","",""
"before age 25","0.14","0.12","0.16","0.12","0.23"
"age 25 or later","0.18","0.17","0.17","0.13","0.33"
