"no","pos","player","championship","championship","championship","fa cup","fa cup","fa cup","efl cup","efl cup","efl cup","total","total","total","discipline","discipline"
"no","pos","player","starts","sub","goals","starts","sub","goals","starts","sub","goals","starts","sub","goals","none","none"
"1","gk","tim krul","45","0","0","-","-","-","-","-","-","45","0","0","4","0"
"2","df","ivo pinto","3","0","0","-","-","-","2","0","0","5","0","0","1","0"
"4","mf","ben godfrey","25","5","4","1","0","0","4","0","0","30","5","4","3","0"
"6","df","christoph zimmermann","38","1","2","1","0","0","4","0","1","43","1","3","12","0"
"8","mf","mario vrancic","13","22","9","-","-","-","2","0","0","15","22","9","5","0"
"10","mf","moritz leitner","19","9","2","-","-","-","1","1","0","20","10","2","5","0"
"11","st","jordan rhodes","9","27","6","1","0","0","1","2","3","11","29","9","2","0"
"12","df","jamal lewis","41","0","0","-","-","-","1","1","0","42","1","0","5","0"
"15","df","timm klose","23","8","4","0","1","0","0","1","0","23","10","4","2","0"
"17","mf","emiliano buendia","33","3","8","-","-","-","2","1","0","35","4","8","5","1"
"18","mf","marco stiepermann","38","4","9","-","-","-","2","1","1","40","5","10","7","0"
"19","mf","tom trybull","22","9","1","1","0","0","4","0","1","27","9","2","8","0"
"22","st","teemu pukki","42","0","28","0","1","0","0","2","1","42","3","29","2","0"
"23","mf","kenny mclean","14","5","3","1","0","0","0","1","0","15","6","3","1","0"
"24","df","felix passlack","0","1","0","1","0","0","4","0","0","5","1","0","1","0"
"25","mf","onel hernandez","34","5","8","0","1","0","1","1","1","35","7","9","3","0"
"27","mf","alexander tettey","26","3","1","-","-","-","2","0","0","28","3","1","4","0"
"28","df","philip heise","-","-","-","-","-","-","-","-","-","0","0","0","0","0"
"30","st","carlton morris","-","-","-","-","-","-","-","-","-","0","0","0","0","0"
"31","df","grant hanley","6","2","1","1","0","0","-","-","-","7","2","1","0","1"
"32","fw","dennis srbeny","0","15","1","1","0","0","4","0","2","5","15","3","0","0"
"33","gk","michael mcgovern","-","-","-","1","0","0","4","0","0","5","0","0","0","0"
"34","mf","louis thompson","1","5","0","-","-","-","2","0","0","3","5","0","0","0"
"36","mf","todd cantwell","18","6","1","1","0","0","2","0","0","21","6","1","3","0"
"37","df","max aarons","40","0","2","-","-","-","2","0","1","42","0","3","9","0"
"38","gk","aston oxborough","-","-","-","-","-","-","-","-","-","0","0","0","0","0"
"40","mf","alfie payne","-","-","-","-","-","-","-","-","-","0","0","0","0","0"
"players out on loan:","players out on loan:","players out on loan:","players out on loan:","players out on loan:","players out on loan:","players out on loan:","players out on loan:","players out on loan:","players out on loan:","players out on loan:","players out on loan:","players out on loan:","players out on loan:","players out on loan:","players out on loan:","players out on loan:"
"3","df","james husband","1","0","0","-","-","-","-","-","-","1","0","0","0","0"
"7","mf","ben marshall","4","0","0","1","0","0","0","1","0","5","1","0","1","0"
"9","st","nelson oliveira","-","-","-","-","-","-","-","-","-","0","0","0","0","0"
"16","mf","matt jarvis","-","-","-","-","-","-","-","-","-","0","0","0","0","0"
"41","df","oluwarotimi odusina","-","-","-","-","-","-","-","-","-","0","0","0","0","0"
"-","df","marcel franke","-","-","-","-","-","-","-","-","-","0","0","0","0","0"
"-","df","sean raggett","-","-","-","-","-","-","-","-","-","0","0","0","0","0"
"-","mf","steven naismith","-","-","-","-","-","-","-","-","-","0","0","0","0","0"
"-","mf","yanic wildschut","-","-","-","-","-","-","-","-","-","0","0","0","0","0"
"players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:","players no longer at the club:"
"5","df","russell martin","-","-","-","-","-","-","-","-","-","0","0","0","0","0"
"29","gk","remi matthews","-","-","-","-","-","-","-","-","-","0","0","0","0","0"
