"club","season","league","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"aston villa","1958-59","first division","14","0","0","0","0","0","14","0"
"aston villa","1959-60","second division","0","0","0","0","0","0","0","0"
"aston villa","1960-61","first division","11","0","0","0","5","0","16","0"
"aston villa","1961-62","first division","32","0","4","0","1","0","37","0"
"aston villa","1962-63","first division","24","1","1","0","5","0","30","1"
"aston villa","1963-64","first division","13","0","0","0","1","0","14","0"
"aston villa","1964-65","first division","24","1","3","0","4","0","31","1"
"aston villa","1965-66","first division","0","0","0","0","0","0","0","0"
"aston villa","total","total","118","2","8","0","16","0","142","2"
"shrewsbury town","1966-67","third division","2","0","0","0","0","0","2","0"
"career total","career total","career total","120","2","8","0","16","0","144","2"
