"","people who saw relatives a few times or more a week","people who saw relatives a few times or more a week","people who saw relatives a few times or more a week","people who contacted relatives a few times or more a week","people who contacted relatives a few times or more a week","people who contacted relatives a few times or more a week"
"","2003","2008","2013","2003","2008","2013"
"","percentage","percentage","percentage","percentage","percentage","percentage"
"total","38","26","26","60","54","54"
"men","34","23","23","51","46","45"
"women","42","29","29","69","62","63"
"age group","","","","","",""
"15 to 24 years","34","20","24","52","44","40"
"25 to 34 years","40","28","26","68","63","59"
"35 to 44 years","37","25","23","62","59","57"
"45 to 54 years","36","24","24","59","53","53"
"55 to 64 years","40","27","28","61","53","57"
"65 to 74 years","43","32","30","61","53","57"
"75 years and older","45","32","32","59","51","54"
"province","","","","","",""
"newfoundland and labrador","60","44","47","75","66","65"
"prince edward island","58","39","40","67","60","58"
"nova scotia","49","34","35","68","58","59"
"new brunswick","55","37","38","70","58","60"
"quebec","41","30","32","61","56","59"
"ontario","35","23","23","59","53","53"
"manitoba","43","29","27","61","54","48"
"saskatchewan","42","30","26","61","58","52"
"alberta","34","24","22","60","54","50"
"british columbia","34","21","21","58","51","48"
