"performing sector and type of work","total","source of funds","source of funds","source of funds","source of funds","source of funds","percent distribution by performer"
"performing sector and type of work","total","business","federal government","nonfederal government","higher education","nonprofit organizations","percent distribution by performer"
"r&d","606085","425999","129610","4762","20704","25010","100"
"business","445637","419268","25199","120","","1049","73.5"
"federal government","58356","194","57956","45","","162","9.6"
"federal intramural","36793","0","36793","0","0","0","6.1"
"ffrdcs","21563","194","21163","45","","162","3.6"
"nonfederal government","656","","269","387","","","0.1"
"higher education","74897","4580","37736","4210","20704","7669","12.4"
"nonprofit organizations","26538","1957","8451","","","16130","4.4"
"percent distribution by funding source","100","70.3","21.4","0.8","3.4","4.1","-"
"basic research","101123","30261","41562","2526","12961","13813","100"
"business","29208","26549","2536","12","","112","28.9"
"federal government","11096","39","11015","9","","33","11"
"federal intramural","6827","0","6827","0","0","0","6.8"
"ffrdcs","4269","39","4188","9","","33","4.2"
"nonfederal government","120","","49","70","","","0.1"
"higher education","46983","2587","24288","2435","12961","4713","46.5"
"nonprofit organizations","13717","1087","3675","","","8956","13.6"
"percent distribution by funding source","100","29.9","41.1","2.5","12.8","13.7","-"
"applied research","116319","62989","39756","1636","5544","6394","100"
"business","66609","61036","5359","23","","191","57.3"
"federal government","19704","90","19518","21","","75","16.9"
"federal intramural","11111","0","11111","0","0","0","9.6"
"ffrdcs","8593","90","8407","21","","75","7.4"
"nonfederal government","514","","211","303","","","0.4"
"higher education","20899","1368","10658","1289","5544","2041","18"
"nonprofit organizations","8593","496","4009","","","4088","7.4"
"percent distribution by funding source","100","54.2","34.2","1.4","4.8","5.5","-"
"experimental development","388642","332748","48292","600","2199","4804","100"
"business","349820","331682","17304","85","","748","90"
"federal government","27556","65","27422","15","","54","7.1"
"federal intramural","18856","0","18856","0","0","0","4.9"
"ffrdcs","8700","65","8567","15","","54","2.2"
"nonfederal government","23","","9","13","","","0"
"higher education","7016","626","2790","486","2199","916","1.8"
"nonprofit organizations","4228","374","767","","","3086","1.1"
"percent distribution by funding source","100","85.6","12.4","0.2","0.6","1.2","-"
