"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"colchester united","2006-07","championship","0","0","0","0","0","0","0","0","0","0"
"welling united","2006-07","conference south","3","0","0","0","0","0","1","0","4","0"
"stevenage","2007-08","conference premier","24","0","3","0","0","0","0","0","27","0"
"stevenage","2008-09","conference premier","35","1","2","0","0","0","8","1","45","2"
"stevenage","2009-10","conference premier","12","2","0","0","0","0","0","0","12","2"
"stevenage","2010-11","league two","42","5","5","0","0","0","3","0","50","5"
"stevenage","2011-12","league one","46","5","6","0","1","0","3","1","56","6"
"stevenage","total","total","159","13","16","0","1","0","14","2","190","15"
"charlton athletic","2012-13","championship","30","2","1","0","1","0","0","0","32","2"
"charlton athletic","2013-14","championship","42","2","5","0","2","0","0","0","49","2"
"charlton athletic","2014-15","championship","24","0","1","0","2","2","0","0","27","2"
"charlton athletic","total","total","96","4","7","0","5","2","0","0","108","6"
"rotherham united","2014-15","championship","3","0","0","0","0","0","0","0","3","0"
"bolton wanderers","2015-16","championship","12","1","0","0","1","0","0","0","13","1"
"bolton wanderers","2016-17","league one","18","1","4","0","1","0","3","0","26","1"
"bolton wanderers","total","total","30","2","4","0","2","0","3","0","39","2"
"peterborough united","2015-16","league one","2","0","2","0","0","0","0","0","4","0"
"port vale","2017-18","league two","7","0","0","0","0","0","1","0","8","0"
"ebbsfleet united","2017-18","national league","13","0","0","0","0","0","4","0","17","0"
"ebbsfleet united","2018-19","national league","14","0","1","0","0","0","0","0","15","0"
"ebbsfleet united","total","total","27","0","1","0","0","0","4","0","32","0"
"maidstone united","2018-19","national league","4","0","0","0","0","0","0","0","4","0"
"career total","career total","career total","331","19","30","0","8","2","23","2","392","23"
