"","total aboriginal identity female population","first nations single identity","first nations single identity","first nations single identity","metis single identity","inuit single identity","non-aboriginal identity female population"
"","total aboriginal identity female population","total","registered or treaty indian","not a registered or treaty indian","metis single identity","inuit single identity","non-aboriginal identity female population"
"","percentage","percentage","percentage","percentage","percentage","percentage","percentage"
"no certificate, diploma or degree","26.3","30.1","33.6","19.9","18.4","47.4","11.0"
"high school diploma or equivalent","23.1","22.6","21.4","26.2","24.5","17.0","23.7"
"postsecondary certificate, diploma or degree","50.7","47.3","45.0","53.8","57.1","35.6","65.3"
"apprenticeship or trades certificate or diploma","9.4","8.5","7.8","10.6","10.8","7.5","8.3"
"college, cegep or other non-university certificate or diploma","24.8","23.1","21.9","26.6","28.2","18.9","23.8"
"university certificate or diploma below bachelor level","4.3","4.5","4.7","4.1","4.2","2.3","5.5"
"university certificate, diploma or degree at bachelor level or above","12.1","11.1","10.6","12.6","13.9","6.8","27.8"
