"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"sheffield wednesday","2014-15","championship","0","0","0","0","0","0","-","-","0","0"
"carlisle united","2014-15","league two","20","0","0","0","0","0","0","0","20","0"
"dover athletic","2015-16","national league","2","0","0","0","-","-","0","0","2","0"
"kidderminster harriers","2015-16","national league","8","0","1","0","-","-","0","0","9","0"
"billericay town","2016-17","isthmian league premier division","6","0","0","0","-","-","0","0","6","0"
"welling united","2016-17","national league south","0","0","0","0","-","-","0","0","0","0"
"chelmsford city","2016-17","national league south","10","1","0","0","-","-","2","0","12","1"
"woking","2017-18","national league","34","0","6","1","-","-","1","0","41","1"
"chelmsford city","2018-19","national league south","16","0","1","0","-","-","1","0","18","0"
"career total","career total","career total","96","1","8","1","0","0","4","0","108","2"
