"year","team","games","games","tackles","tackles","tackles","tackles","fumbles","fumbles","fumbles","interceptions","interceptions","interceptions","interceptions","interceptions","interceptions"
"year","team","g","gs","comb","total","ast","sack","ff","fr","yds","int","yds","avg","lng","td","pd"
"2006","den","13","0","17","14","3","8.5","1","3","13","0","0","0.0","0","0","1"
"2007","den","16","16","39","34","5","12.5","4","3","0","1","27","27.0","27","0","4"
"2008","den","16","15","24","17","7","5.0","1","1","0","0","0","0.0","0","0","1"
"2009","den","16","14","49","42","7","17.0","4","1","0","0","0","0.0","0","0","3"
"2010","den","0","0","injured","injured","injured","injured","injured","injured","injured","injured","injured","injured","injured","injured","injured"
"2011","den","14","14","42","31","11","9.5","0","1","0","0","0","0.0","0","0","1"
"2012","den","16","16","54","32","22","11.0","6","0","0","0","0","0.0","0","0","2"
"2013","bal","15","3","31","18","13","9.5","2","0","0","0","0","0.0","0","0","3"
"2014","bal","16","2","37","27","10","17.0","2","1","0","0","0","0.0","0","0","1"
"2015","bal","16","16","48","29","19","6.0","1","2","0","0","0","0.0","0","0","1"
"2016","bal","8","3","11","9","2","3.0","2","1","0","0","0","0.0","0","0","0"
"2017","sf","16","0","13","9","4","6.5","0","0","0","0","0","0.0","0","0","0"
"career","career","162","99","365","262","103","105.5","23","13","13","1","27","27.0","27","0","14"
