"type of offence and type of drug","guilty","guilty","stayed/withdrawn","stayed/withdrawn","acquitted","acquitted","other","other","total","total"
"type of offence and type of drug","number","percent","number","percent","number","percent","number","percent","number","percent"
"completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession"
"cannabis","5,909","42","7,971","57","58","0","34","0","13,972","100"
"other drugs","1,714","60","1,107","39","26","1","6","0","2,853","100"
"cocaine","529","62","320","37","3","0","2","0","854","100"
"heroin","14","56","10","40","1","4","0","0","25","100"
"methamphetamines","158","69","67","29","3","1","1","0","229","100"
"ecstasy","161","58","108","39","6","2","1","0","276","100"
"other cdsa","852","58","602","41","13","1","2","0","1,469","100"
"total completed cases related to drug possession","7,623","45","9,078","54","84","0","40","0","16,825","100"
"completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply"
"cannabis","1,402","51","1,276","46","67","2","5","0","2,750","100"
"other drugs","1,324","61","776","36","49","2","4","0","2,153","100"
"cocaine","652","57","470","41","17","1","1","0","1,140","100"
"heroin","16","55","11","38","2","7","0","0","29","100"
"methamphetamines","99","81","18","15","5","4","0","0","122","100"
"ecstasy","76","62","42","34","4","3","0","0","122","100"
"other cdsa","481","65","235","32","21","3","3","0","740","100"
"total completed cases related to drug supply","2,726","56","2,052","42","116","2","9","0","4,903","100"
"completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases"
"cannabis","7,311","44","9,247","55","125","1","39","0","16,722","100"
"other drugs","3,038","61","1,883","38","75","1","10","0","5,006","100"
"cocaine","1,181","59","790","40","20","1","3","0","1,994","100"
"heroin","30","56","21","39","3","6","0","0","54","100"
"methamphetamines","257","73","85","24","8","2","1","0","351","100"
"ecstasy","237","60","150","38","10","3","1","0","398","100"
"other cdsa","1,333","60","837","38","34","2","5","0","2,209","100"
"total completed drug-related cases","10,349","48","11,130","51","200","1","49","0","21,728","100"
