"characteristic","2003","2004","2005","2006","2007 olda","2007 newa","2008","2009","2010","2011","2012","% change"
"characteristic","2003","2004","2005","2006","2007 olda","2007 newa","2008","2009","2010","2011","2012","2011-12"
"all graduate students in surveyed fields","474645","475873","478275","486287","502375","516199","529275","545685","556532","560941","561418","0.1"
"full time","339028","340529","341742","349802","362976","371542","383560","398498","409107","411168","414384","0.8"
"part time","135617","135344","136533","136485","139399","144657","145715","147187","147425","149773","147034","-1.8"
"male","276248","274008","271967","275181","284080","288926","297278","307936","316051","318209","318870","0.2"
"female","198397","201865","206308","211106","218295","227273","231997","237749","240481","242732","242548","-0.1"
"u.s. citizens and permanent residentsb","327181","332022","338513","343603","353142","365091","369781","382342","390403","392160","385343","-1.7"
"hispanic or latino","21241","22212","23387","24140","25032","25739","26098","27265","28609","30808","31406","1.9"
"not hispanic or latino","","","","","","","","","","","",""
"american indian or alaska native","1879","1848","1958","2112","2168","2262","2618","2549","2500","2392","2188","-8.5"
"asianc","30746","29570","29547","29232","30134","30697","30356","31754","32185","33147","32700","-1.3"
"black or african american","24174","24624","25248","25664","26565","27637","28680","29973","31094","32197","31338","-2.7"
"native hawaiian or other pacific islanderc","1040","1075","1027","947","1145","1200","1121","1125","1088","1008","920","-8.7"
"white","222674","224850","225776","227993","232043","240204","242623","250443","255256","256096","250783","-2.1"
"more than one racec","423","493","528","501","543","551","1319","2300","4989","6103","7578","24.2"
"unknown ethnicity and race","25004","27350","31042","33014","35512","36801","36966","36933","34682","30409","28430","-6.5"
"temporary visa holders","147464","143851","139762","142684","149233","151108","159494","163343","166129","168781","176075","4.3"
