"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"independiente medellin","2009","categoria primera a","3","0","0","0","-","-","0","0","0","0","3","0"
"independiente medellin","2010","categoria primera a","0","0","0","0","-","-","0","0","0","0","0","0"
"independiente medellin","2011","categoria primera a","0","0","2","0","-","-","0","0","2","0","none","none"
"independiente medellin","2012","categoria primera a","9","0","2","0","-","-","0","0","11","0","none","none"
"independiente medellin","total","total","12","0","4","0","-","-","0","0","0","0","16","0"
"trujillanos","2012-13","venezuelan primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"america de cali","2013","categoria primera b","13","0","0","0","-","-","1","0","14","0","none","none"
"america de cali","2014","categoria primera b","0","0","0","0","-","-","0","0","0","0","none","none"
"america de cali","total","total","13","0","0","0","-","-","1","0","14","0","none","none"
"atletico tucuman","2015","primera b nacional","24","0","1","0","-","-","0","0","25","0","none","none"
"atletico tucuman","2016","argentine primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"atletico tucuman","2016-17","argentine primera division","1","0","0","0","-","-","0","0","0","0","1","0"
"atletico tucuman","total","total","25","0","1","0","-","-","0","0","0","0","26","0"
"career total","career total","career total","50","0","5","0","-","-","0","0","1","0","56","0"
