"region or country of ancestry","women","women","men","men"
"region or country of ancestry","employment rate","unemployment rate","employment rate","unemployment rate"
"region or country of ancestry","percent","percent","percent","percent"
"region of ancestry","","","",""
"caribbean and latin america","78.3","8.0","77.3","10.8"
"africa","75.8","9.6","73.9","11.3"
"other regions","75.9","8.1","77.1","9.6"
"country of ancestry","","","",""
"jamaica","76.1","9.0","75.5","11.3"
"haiti","81.1","7.1","76.2","11.6"
"trinidad and tobago","78.6","7.4","80.4","10.0"
"barbados","81.9","5.6","82.6","8.3"
"guyana","78.0","7.5","79.5","11.1"
"saint vincent and the grenadines","78.8","6.6","77.3","13.3"
"grenada","76.7","10.6","81.5","8.8"
"ghana","75.5","10.3","79.4","8.6"
"nigeria","76.9","7.3","78.4","8.3"
"united states","72.0","9.9","76.9","9.8"
"united kingdom","79.1","7.6","76.7","9.6"
"canada","66.7","9.3","70.0","11.8"
