"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"metz","2005-06","ligue 1","3","0","1","0","0","0","-","-","4","0"
"metz","2006-07","ligue 2","2","0","2","0","0","0","-","-","4","0"
"metz","2007-08","ligue 1","11","0","0","0","1","0","-","-","12","0"
"metz","total","total","16","0","3","0","1","0","-","-","20","0"
"tours","2008-09","ligue 2","34","0","1","0","1","0","-","-","36","0"
"valenciennes","2009-10","ligue 1","29","2","1","0","1","0","-","-","31","2"
"valenciennes","2010-11","ligue 1","22","1","1","0","1","1","-","-","24","2"
"valenciennes","2011-12","ligue 1","28","0","2","0","0","0","-","-","30","0"
"valenciennes","2012-13","ligue 1","29","0","1","0","1","0","-","-","31","0"
"valenciennes","2013-14","ligue 1","1","0","-","-","1","0","none","none","none","none"
"valenciennes","total","total","109","3","5","0","3","1","-","-","117","4"
"olympiacos","2013-14","superleague greece","19","0","5","1","-","-","4","0","28","1"
"wigan athletic","2014-15","championship","14","0","-","-","14","0","none","none","none","none"
"brighton & hove albion","2015-16","championship","16","0","0","0","1","0","2","0","19","0"
"brighton & hove albion","2016-17","championship","24","0","0","0","0","0","-","-","24","0"
"brighton & hove albion","2017-18","premier league","25","0","1","0","2","0","-","-","28","0"
"brighton & hove albion","2018-19","premier league","22","0","2","0","0","0","-","-","24","0"
"brighton & hove albion","total","total","87","0","3","0","3","0","2","0","95","0"
"career total","career total","career total","279","3","17","1","8","1","6","0","310","5"
