"","1991 cohort","1991 cohort","1991 cohort","2006 cohort","2006 cohort","2006 cohort"
"","model 1","model 2","model 3","model 1","model 2","model 3"
"","coefficient","coefficient","coefficient","coefficient","coefficient","coefficient"
"canadian-educated immigrants","-0.760","-0.549","-0.245","-0.660","-0.324","0.003"
"years since the base year","0.074","0.066","0.068","0.101","0.089","0.098"
"squared years since the base year","-0.002","-0.002","-0.002","-0.007","-0.006","-0.007"
"canadian-educated immigrants interacted with years since the base year","0.071","0.056","0.062","0.105","0.032","0.055"
"canadian-educated immigrants interacted with squared years since the base year","-0.003","-0.002","-0.002","-0.007","-0.002","-0.004"
"age in the base year","..","0.183","-0.070","..","0.103","-0.105"
"age squared","..","-0.003","0.001","..","-0.001","0.002"
"graduate degrees","..","0.227","0.218","..","0.144","0.149"
"months of study in a year","..","-0.180","-0.157","..","-0.101","-0.084"
"french","..","0.006","0.007","..","0.099","0.059"
"other languages","..","-0.273","-0.211","..","-0.379","-0.207"
"visible minorities","..","-0.193","-0.036","..","-0.125","-0.057"
"atlantic region","..","-0.193","-0.122","..","-0.107","-0.051"
"quebec","..","-0.219","-0.129","..","-0.287","-0.143"
"manitoba and saskatchewan","..","-0.247","-0.186","..","-0.040","0.004"
"alberta","..","-0.017","0.005","..","0.216","0.194"
"british columbia","..","-0.207","-0.157","..","-0.116","-0.081"
"regional unemployment rate","..","-0.010","-0.009","..","-0.007","-0.014"
"low prior earnings","..","..","0.039","..","..","0.181"
"medium prior earnings","..","..","0.241","..","..","0.559"
"high prior earnings","..","..","0.800","..","..","1.130"
"years of prior canadian work experience","..","..","0.030","..","..","0.010"
"intercept","10.758","8.099","11.438","10.807","9.114","11.631"
