"club","league","season","league","league","cup","cup","league cup","league cup","europe","europe","total","total"
"club","league","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"aik","allsvenskan","2010","12","6","-","-","-","-","4","1","16","7"
"aik","allsvenskan","2011","19","7","1","0","-","-","-","-","19","7"
"aik","allsvenskan","total","31","13","1","0","-","-","4","1","35","14"
"celtic","spl","2011-12","10","0","0","0","1","0","4","0","15","0"
"celtic","spl","2012-13","1","0","0","0","0","0","0","0","1","0"
"celtic","spl","total","11","0","0","0","1","0","4","0","16","0"
"aik","allsvenskan","2012","10","4","0","0","-","-","6","1","16","5"
"aik","allsvenskan","total","10","4","0","0","-","-","6","1","16","5"
"elfsborg","allsvenskan","2013","27","7","0","0","-","-","8","1","35","8"
"elfsborg","allsvenskan","total","27","7","0","0","-","-","8","1","35","8"
"istanbul bb","tff first league","2013-14","8","0","-","-","-","-","-","-","8","0"
"istanbul bb","tff first league","total","8","0","-","-","-","-","-","-","8","0"
"aik","allsvenskan","2015","30","8","3","1","-","-","5","1","35","8"
"aik","allsvenskan","total","30","8","3","1","-","-","5","1","35","8"
"dalian yifang","china league one","2016","24","3","1","1","-","-","-","-","25","4"
"dalian yifang","china league one","total","24","3","1","1","-","-","-","-","25","4"
"dalkurd","superettan","2017","10","1","3","1","-","-","-","-","13","2"
"dalkurd","superettan","total","10","1","3","1","-","-","-","-","13","2"
"career total","career total","career total","151","36","8","3","1","0","27","4","187","43"
