"","education level","education level","education level"
"","college","bachelor's","master's and doctorate"
"","percent","percent","percent"
"employment rate","","",""
"participation in wil","87.4","92.4","93.8"
"no participation in wil","89.6","90.4","91.7"
"full-time employment rate","","",""
"participation in wil","79.5","86.9","86.7"
"no participation in wil","81.3","84.4","87.2"
"permanent employment","","",""
"participation in wil","72.0","76.5","71.0"
"no participation in wil","70.5","77.0","72.2"
"perception that job was somewhat or closely related to field of study","","",""
"participation in wil","78.1","88.4","92.1"
"no participation in wil","70.2","71.0","88.3"
"had a higher level of education than the level required by the job","","",""
"participation in wil","39.1","31.8","58.1"
"no participation in wil","47.9","48.9","70.5"
"","dollars","dollars","dollars"
"employment income","","",""
"participation in wil","44,600","57,900","69,700"
"no participation in wil","45,400","54,100","73,000"
"full-time employment income","","",""
"participation in wil","46,600","59,900","72,300"
"no participation in wil","47,800","56,000","74,600"
