"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"flora","1994-95","meistriliiga","1","0","none","none","0","0","0","0","1","0"
"flora","1995-96","meistriliiga","9","2","none","none","1","0","0","0","10","2"
"flora","1996-97","meistriliiga","18","13","none","none","2","0","0","0","20","13"
"flora","1997-98","meistriliiga","22","15","none","none","2","0","0","0","24","15"
"flora","1998","meistriliiga","13","10","none","none","2","1","1","0","16","11"
"flora","1999","meistriliiga","10","4","none","none","0","0","0","0","10","4"
"flora","total","total","73","44","none","none","7","1","1","0","81","45"
"tervis parnu","1995-96","meistriliiga","9","3","none","none","-","-","0","0","9","3"
"aab","1999-2000","superliga","30","7","none","none","4","1","none","none","34","8"
"aab","2000-01","superliga","29","6","none","none","4","0","none","none","33","6"
"aab","2001-02","superliga","31","4","none","none","-","-","none","none","31","4"
"aab","2002-03","superliga","27","11","none","none","-","-","none","none","27","11"
"aab","total","total","117","28","none","none","8","1","none","none","125","29"
"torpedo moscow","2003","russian premier league","14","3","none","none","5","2","none","none","19","5"
"torpedo moscow","2004","russian premier league","24","4","none","none","-","-","none","none","24","4"
"torpedo moscow","2005","russian premier league","15","1","none","none","-","-","none","none","15","1"
"torpedo moscow","total","total","53","8","none","none","5","2","none","none","58","10"
"roda jc","2005-06","eredivisie","24","8","4","5","0","0","1","0","29","13"
"roda jc","2006-07","eredivisie","32","11","4","0","-","-","2","1","38","12"
"roda jc","2007-08","eredivisie","20","7","3","1","-","-","2","0","25","8"
"roda jc","2008-09","eredivisie","27","6","1","1","-","-","0","0","28","7"
"roda jc","total","total","103","32","12","7","0","0","5","1","120","40"
"shanghai shenhua","2009","chinese super league","6","0","-","-","0","0","0","0","6","0"
"ado den haag","2009-10","eredivisie","12","1","0","0","-","-","0","0","12","1"
"aek larnaca","2010-11","cypriot first division","21","3","none","2","-","-","0","0","21","5"
"nea salamina","2011-12","cypriot first division","14","3","none","none","-","-","0","0","14","3"
"nea salamina","2012-13","cypriot first division","28","5","none","none","-","-","0","0","28","5"
"nea salamina","total","total","42","8","0","0","-","-","0","0","42","8"
"career total","career total","career total","436","127","12","9","20","4","6","1","474","141"
