"club","league","season","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","league","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"wsa winnipeg","premier development league","2013","14","0","0","0","-","-","-","-","14","0"
"fc edmonton","north american soccer league","2014","1","0","0","0","-","-","0","0","1","0"
"fc edmonton","north american soccer league","2015","2","0","0","0","-","-","0","0","2","0"
"fc edmonton","north american soccer league","2016","3","0","0","0","-","-","0","0","3","0"
"fc edmonton","north american soccer league","2017","16","0","2","0","-","-","0","0","18","0"
"fc edmonton","total","total","22","0","0","0","-","-","0","0","24","0"
"st patrick's athletic","league of ireland premier division","2018","3","0","0","0","1","0","0","0","4","0"
"wsa winnipeg","premier development league","2018","0","0","0","0","-","-","-","-","0","0"
"career total","career total","career total","39","0","2","0","1","0","0","0","42","0"
