"","all immigrants","immigrant class","immigrant class","immigrant class"
"","all immigrants","family","economic","refugee"
"","ratio","ratio","ratio","ratio"
"all industries","1.0","0.9","1.0","0.7"
"industry group","","","",""
"knowledge-based industries","1.2","0.7","1.8","0.5"
"engineering and information technology","1.3","0.7","2.0","0.5"
"retail (grocery) and food services","1.7","1.6","1.5","1.6"
"taxi, janitorial, landscaping","..","..","..",".."
"lessor of real estate","..","..","..",".."
