"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"chesterfield","1977-78","third division","19","0","0","0","2","0","21","0"
"chesterfield","1978-79","third division","1","0","0","0","0","0","1","0"
"chesterfield","1979-80","third division","1","0","0","0","0","0","1","0"
"chesterfield","1980-81","third division","17","0","6","0","4","0","27","0"
"chesterfield","1981-82","third division","17","0","2","0","1","0","20","0"
"chesterfield","1982-83","third division","32","1","1","0","1","0","34","1"
"chesterfield","total","total","87","1","9","0","8","0","104","1"
"port vale","1983-84","third division","18","0","1","0","3","0","22","0"
"mansfield town","1984-85","fourth division","18","0","1","0","6","0","25","0"
"mansfield town","1985-86","fourth division","35","1","2","0","5","1","42","1"
"mansfield town","1986-87","third division","14","0","0","0","5","0","19","0"
"mansfield town","total","total","67","1","3","0","16","1","86","2"
"peterborough united","1987-88","fourth division","12","0","0","0","4","0","16","0"
"peterborough united","1988-89","fourth division","8","0","0","0","0","0","8","0"
"peterborough united","total","total","20","0","0","0","4","0","24","0"
"career total","career total","career total","192","2","13","0","31","1","236","3"
