"year","title","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","title","ita","aus","aut","fin","fra","ger","ned","spa","swe","uk","us","certifications","album"
"1993","the rhythm of the night","1","8","6","-","3","8","5","3","28","2","11","aus: gold fra: gold ger: gold uk: gold","the rhythm of the night"
"1995","baby baby","1","7","13","6","16","41","26","2","10","5","57","aus: gold","the rhythm of the night"
"1995","try me out","2","10","20","5","11","40","45","4","17","6","-","aus: gold uk: silver","the rhythm of the night"
"1995","i don't wanna be a star","2","109","25","6","18","69","-","1","37","22","-","","the rhythm of the night"
"1996","megamix","20","161","-","-","40","-","-","-","43","36","-","","non-album single"
"1997","the power of love","25","-","-","-","-","-","-","7","-","-","-","","walking on music"
"1998","walking on music","-","-","-","-","-","-","-","8","-","-","-","","walking on music"
"1998","magic touch","-","-","-","-","-","-","-","3","-","-","-","","walking on music"
"2000","good love","-","-","-","-","-","-","-","-","-","-","-","","and me u"
"2000","volcano","27","-","-","-","-","-","-","-","-","-","-","","and me u"
"2006","back in time","36","-","-","15","-","-","-","49","-","-","-","","non-album singles"
"2006","i'll be your lady","37","-","-","-","-","-","-","-","-","-","-","","non-album singles"
"2008","baby i don't care","-","-","-","-","-","-","-","46","-","-","-","","non-album singles"
"2009","la playa del sol","28","-","-","-","-","-","-","35","-","-","-","","non-album singles"
"2010","angel","15","-","-","-","-","-","-","-","-","-","-","","y generation"
"2011","my song","34","-","-","-","-","-","-","-","-","-","-","","y generation"
"2012","hurry up","44","-","-","-","-","-","-","-","-","-","-","","non-album singles"
"2013","queen of town","61","-","-","-","-","-","-","-","-","-","-","","non-album singles"
"2014","stay with me","-","-","-","-","-","-","-","-","-","-","-","","non-album singles"
"2015","we used to love","-","-","-","-","-","-","-","-","-","-","-","","non-album singles"
"2016","super model","-","-","-","-","-","-","-","-","-","-","-","","non-album singles"
""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory",""-" denotes items that did not chart or were not released in that territory"
