"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","total","total"
"club","season","league","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"audax italiano","2006","primera division","24","7","0","0","-","-","24","7","none","none"
"audax italiano","2007","primera division","37","7","0","0","-","-","10","2","47","7"
"audax italiano","totals","totals","61","14","0","0","-","-","10","2","71","16"
"chelsea","2008-09","premier league","8","0","3","0","2","0","3","0","16","0"
"blackburn rovers","2009-10","premier league","22","1","1","0","1","0","-","-","24","1"
"wigan athletic","2010-11","premier league","25","1","2","0","2","0","-","-","29","1"
"wigan athletic","2011-12","premier league","32","7","1","0","0","0","-","-","33","7"
"wigan athletic","2012-13","premier league","35","5","0","0","0","0","-","-","35","5"
"wigan athletic","totals","totals","92","14","3","0","2","0","-","-","97","14"
"werder bremen","2013-14","bundesliga","23","4","0","0","-","-","23","4","none","none"
"werder bremen","2014-15","bundesliga","26","13","2","1","-","-","28","14","none","none"
"werder bremen","totals","totals","49","17","2","1","-","-","51","18","none","none"
"schalke","2015-16","bundesliga","25","2","2","1","-","-","7","5","34","8"
"schalke","2016-17","bundesliga","12","0","1","0","-","-","2","0","15","0"
"schalke","2017-18","bundesliga","30","3","4","1","-","-","34","4","none","none"
"schalke","2018-19","bundesliga","4","0","0","0","-","-","1","0","5","0"
"schalke","totals","totals","71","5","7","2","-","-","10","5","88","12"
"rayo vallecano","2018-19","la liga","3","0","0","0","-","-","3","0","none","none"
"career totals","career totals","career totals","306","50","16","3","5","0","23","7","350","60"
