"characteristics of youth who participated in restorative justice in 2009","male","female","total"
"characteristics of youth who participated in restorative justice in 2009","percent","percent","percent"
"referral source","","",""
"police","54","64","57"
"crown prosecution","39","32","37"
"courts","5","3","4"
"corrections","2","1","2"
"total","100","100","100"
"status of restorative justice file","","",""
"referred, not accepted","6","3","5"
"accepted, successful in all or some part","89","91","90"
"accepted, not successful or success unknown","5","6","6"
"total","100","100","100"
"length of restorative justice process","","",""
"90 days or less","22","32","25"
"91 to 180 days","48","50","49"
"181 to 365 days","27","16","23"
"over 365 days","3","3","3"
"total","100","100","100"
"number of recontacts with restorative justice","","",""
"0","82","87","84"
"1 recontact","16","11","14"
"2 or more recontacts","2","2","2"
"total","100","100","100"
"time to first recontact","","",""
"90 days or less","8","14","10"
"91 to 180 days","20","14","19"
"181 to 365 days","20","19","20"
"over 365 days","51","53","51"
"total","100","100","100"
"recontact by type of offence","","",""
"violent crime","x","x","21"
"property crime","x","x","15"
"other crime and federal statutes","x","x","15"
"total","x","x","16"
"change in seriousness of offence","","",""
"less serious","x","x","35"
"no change","x","x","23"
"more serious","x","x","42"
"total","100","100","100"
