"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"scunthorpe united","2003-04","third division","1","0","0","0","0","0","0","0","1","0"
"scunthorpe united","2004-05","league two","4","0","1","0","0","0","1","0","6","0"
"scunthorpe united","2005-06","league one","29","0","3","0","2","0","0","0","34","0"
"scunthorpe united","2006-07","league one","35","0","3","0","2","0","2","0","42","0"
"scunthorpe united","2007-08","championship","34","0","1","0","1","0","-","-","36","0"
"scunthorpe united","2008-09","league one","26","0","2","0","1","0","5","0","34","0"
"scunthorpe united","2009-10","championship","37","0","2","0","4","0","-","-","43","0"
"scunthorpe united","total","total","166","0","12","0","10","0","8","0","196","0"
"reading","2010-11","championship","3","0","0","0","2","0","0","0","5","0"
"reading","2011-12","championship","0","0","-","-","0","0","-","-","0","0"
"reading","total","total","3","0","0","0","2","0","-","-","5","0"
"peterborough united","2010-11","league one","3","0","-","-","3","0","none","none","none","none"
"scunthorpe united","2010-11","championship","5","0","-","-","5","0","none","none","none","none"
"sheffield united","2011-12","league one","19","0","3","0","-","-","1","0","23","0"
"sheffield united","2012-13","league one","18","0","3","0","1","0","2","0","24","0"
"sheffield united","2013-14","league one","2","0","0","0","1","0","0","0","3","0"
"sheffield united","total","total","39","0","6","0","2","0","3","0","50","0"
"scunthorpe united","2013-14","league two","26","0","-","-","26","0","none","none","none","none"
"scunthorpe united","2014-15","league one","40","0","5","0","1","0","1","0","47","0"
"scunthorpe united","total","total","66","0","5","0","1","0","1","0","73","0"
"kerala blasters","2015","indian super league","5","0","-","-","5","0","none","none","none","none"
"guiseley","2016-17","national league","30","0","1","0","-","-","2","0","33","0"
"guiseley","2017-18","national league","8","0","0","0","-","-","0","0","8","0"
"guiseley","total","total","38","0","1","0","0","0","2","0","41","0"
"york city","2017-18","national league north","1","0","-","-","1","0","none","none","none","none"
"career total","career total","career total","326","0","24","0","15","0","14","0","379","0"
