"rank","athlete","group","body weight","snatch","snatch","snatch","snatch","clean & jerk","clean & jerk","clean & jerk","clean & jerk","total"
"rank","athlete","group","body weight","1","2","3","result","1","2","3","result","total"
"none","saeid mohammadpour","a","94.00","177","180","183","183","219","224","226","219","402"
"none","kim min-jae","a","93.68","178","182","185","185","210","220","221","210","395"
"none","tomasz zielinski","b","93.61","167","172","175","175","208","210","215","210","385"
"4","aliaksandr makaranka","b","93.65","165","170","175","175","200","205","209","209","384"
"5","kostyantyn piliyev","b","93.59","160","166","166","166","200","206","206","206","372"
"6","david kavelasvili","b","93.21","165","170","173","170","200","205","205","200","370"
"7","endri karina","b","93.90","155","155","161","155","185","190","195","195","350"
"8","abbas al-qaisoum","b","93.06","140","150","155","155","171","180","185","180","335"
"9","peter kirkbride","b","93.37","138","142","142","138","180","185","190","190","328"
"10","david katoatau","b","93.32","135","140","140","140","185","190","190","185","325"
"11","cristopher pavon","b","93.20","130","135","140","140","170","177","180","180","320"
"12","miika antti-roiko","b","93.63","140","140","140","140","180","180","185","180","320"
"13","jean greeff","b","93.32","130","137","141","137","170","175","176","176","313"
"-","arsen kasabijew","a","93.56","170","174","174","170","-","-","-","-","-"
"dq","ilya ilyin","a","93.52","177","182","185","-","224","228","233","-","-"
"dq","aleksandr ivanov","a","93.30","180","185","185","-","215","224","229","-","-"
"dq","anatolie ciricu","a","93.29","178","181","181","-","220","226","228","-","-"
"dq","andrey demanov","a","93.85","175","180","182","-","215","225","225","-","-"
"dq","intigam zairov","a","93.17","175","175","182","-","215","223","225","-","-"
"dq","almas uteshov","a","93.15","167","173","175","-","213","220","225","-","-"
"dq","norayr vardanyan","a","93.83","170","175","175","-","210","216","216","-","-"
