"census metropolitan area","percent change in crime severity index from 2015 to 2016","violations driving the change in crime severity index"
"canada","+1","fraud"
"st. john's","+7","breaking and entering"
"halifax","-4","breaking and entering, robbery"
"moncton","-4","theft of $5,000 or under, homicide"
"saint john","-6","sexual assault level 1, uttering threats"
"saguenay","+6","homicide, forcible confinement or kidnapping"
"quebec","+8","forcible confinement or kidnapping, fraud"
"sherbrooke","+1","sexual violations against children"
"trois-rivieres","-14","robbery, homicide, breaking and entering"
"montreal","-5","breaking and entering, robbery, theft of $5,000 or under"
"gatineau","+6","fraud, robbery, homicide"
"ottawa","+11","homicide, breaking and entering, fraud"
"kingston","-2","homicide, attempted murder"
"peterborough","0","not applicable"
"toronto","+4","fraud, robbery"
"hamilton","+6","robbery, homicide"
"st. catharines-niagara","-4","breaking and entering, homicide"
"kitchener-cambridge-waterloo","+1","administration of justice violations, sexual violations against children"
"brantford","+13","homicide, breaking and entering, fraud"
"guelph","+9","theft of $5,000 or under, breaking and entering, sexual violations against children"
"london","+5","fraud, breaking and entering, theft of $5,000 or under"
"windsor","+4","breaking and entering"
"barrie","+5","fraud"
"greater sudbury","+7","breaking and entering"
"thunder bay","+6","homicide, breaking and entering"
"winnipeg","+16","robbery, breaking and entering"
"regina","+15","fraud, attempted murder"
"saskatoon","+5","fraud"
"calgary","-6","breaking and entering, robbery"
"edmonton","+3","theft of $5,000 or under, fraud"
"kelowna","0","not applicable"
"abbotsford-mission","-5","breaking and entering, robbery"
"vancouver","-1","robbery"
"victoria","-12","breaking and entering, homicide"
