"religion","2001","2001","2011","2011"
"religion","number","%","number","%"
"christianity","2,087,242","71.9","1,763,299","57.6"
"islam","21,739","0.7","45,950","1.5"
"hinduism","5,439","0.2","10,434","0.3"
"buddhism","5,407","0.2","9,117","0.3"
"sikhism","2,015","0.1","2,962","0.1"
"judaism","2,256","0.1","2,064","0.1"
"other religion","6,909","0.2","12,705","0.4"
"no religion","537,935","18.5","982,997","32.1"
"religion not stated","234,143","8.1","233,928","7.6"
"total population","2,903,085","100.0","3,063,456","100.0"
