"","first full year after immigration","fifth year after immigration"
"","percent","percent"
"employment incidence","",""
"federal skilled workers","84.1","87.7"
"provincial nominees","84.6","85.6"
"quebec skilled workers","86.4","90.7"
"canadian experience class","83.9","87.6"
"","2017 constant dollars","2017 constant dollars"
"annual earnings","",""
"federal skilled workers","45,800","59,500"
"provincial nominees","45,100","50,600"
"quebec skilled workers","41,100","52,000"
"canadian experience class","46,400","57,800"
