"","women","men","difference"
"","percent","percent","percent"
"under $5,000","8.1","6.4","1.7"
"$5,000 to $9,999","8.4","5.8","2.6"
"$10,000 to $19,999","15.6","10.4","5.2"
"$20,000 to $29,999","13.6","9.3","4.3"
"$30,000 to $39,999","12.7","10.2","2.5"
"$40,000 to $49,999","11.5","10.4","1.1"
"$50,000 to $59,999","7.8","9.2","-1.4"
"$60,000 to $79,999","11.0","14.3","-3.3"
"$80,000 to $99,999","6.6","9.6","-3.0"
"$100,000 and over","4.8","14.3","-9.5"
"total","100.0","100.0",".."
"","dollars","dollars","dollars"
"average","40,600.00","59,200.00","-18,600.00"
"median","33,400.00","47,500.00","-14,100.00"
