"explanatory variables, prior to entry into export markets","growth of r&d intensity","growth of r&d intensity","change in the growth of r&d intensity","change in the growth of r&d intensity"
"explanatory variables, prior to entry into export markets","small firms","large firms","small firms","large firms"
"export-starter dummy","","","",""
"coefficient","0.052","0.236","0.043","-0.173"
"standard error","0.020","0.247","0.029","0.186"
"extramural r&d dummy, using asm data","","","",""
"coefficient","-0.045","-0.337","-0.009","0.018"
"standard error","0.014","0.191","0.022","0.086"
"relative extramural r&d intensity, using asm data","","","",""
"coefficient","-0.041","0.004","-0.017","-0.043"
"standard error","0.005","0.010","0.013","0.018"
"foreign-owned","","","",""
"coefficient","0.026","-0.071","0.015","-0.217"
"standard error","0.046","0.173","0.077","0.154"
"age","","","",""
"coefficient","0.001","-0.005","-0.002","0.003"
"standard error","0.001","0.010","0.002","0.007"
"relative labour productivity","","","",""
"coefficient","0.005","0.030","0.009","0.009"
"standard error","0.009","0.041","0.015","0.024"
"relative employment","","","",""
"coefficient","0.007","-0.004","-0.003","0.003"
"standard error","0.006","0.005","0.009","0.006"
"number of observations","16,843","576","16,843","576"
"r-squared","0.048","0.098","0.005","0.059"
"adusted r-squared","0.04670","0.05330","0.00361","0.01240"
