"club","season","league","league","league","fa cup","fa cup","efl cup","efl cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","2010-11","league two","1","0","0","0","0","0","0","0","1","0"
"port vale","2011-12","league two","2","0","0","0","0","0","0","0","2","0"
"port vale","2012-13","league two","6","0","0","0","0","0","1","0","7","0"
"port vale","2013-14","league one","3","0","0","0","0","0","0","0","3","0"
"port vale","2014-15","league one","0","0","0","0","0","0","0","0","0","0"
"port vale","2015-16","league one","5","0","0","0","0","0","0","0","5","0"
"port vale","2016-17","efl league one","0","0","0","0","0","0","0","0","0","0"
"port vale","total","total","17","0","0","0","0","0","1","0","18","0"
"tamworth","2013-14","conference premier","6","0","0","0","-","-","0","0","6","0"
"chester","2015-16","national league","22","0","0","0","-","-","4","0","26","0"
"chester","2016-17","national league","41","3","1","0","-","-","3","0","45","3"
"chester","total","total","63","3","1","0","0","0","7","0","71","3"
"macclesfield town","2017-18","national league","27","4","2","0","-","-","0","0","29","4"
"macclesfield town","2018-19","efl league two","0","0","0","0","0","0","0","0","0","0"
"macclesfield town","total","total","27","4","2","0","0","0","0","0","29","4"
"career total","career total","career total","113","7","3","0","0","0","8","0","124","7"
