"","2007","2007","2007","2014","2014","2014","p-value","annual change"
"","average times/day","95% confidence interval","95% confidence interval","average times/day","95% confidence interval","95% confidence interval","p-value","annual change"
"","average times/day","from","to","average times/day","from","to","p-value","annual change"
"including fruit juice","","","","","","","",""
"average","5.0","5.0","5.0","4.7","4.7","4.8","<.0001","-0.05"
"sex","","","","","","","",""
"male","4.6","4.6","4.7","4.4","4.3","4.4","<.0001","-0.05"
"female","5.4","5.3","5.4","5.1","5.0","5.1","<.0001","-0.05"
"age group","","","","","","","",""
"12 to 18","5.3","5.2","5.5","5.2","5.1","5.3","<.0001","-0.07"
"19 to 50","4.9","4.9","5.0","4.7","4.6","4.8","<.0001","-0.04"
"51 or older","5.0","5.0","5.1","4.7","4.6","4.7","<.0001","-0.05"
"household income quintile","","","","","","","",""
"lowest","4.8","4.7","4.9","4.5","4.4","4.6","<.0001","-0.06"
"low-middle","5.0","4.9","5.1","4.6","4.5","4.7","<.0001","-0.06"
"middle","5.0","4.9","5.1","4.8","4.7","4.8","<.0001","-0.04"
"high-middle","5.1","5.0","5.2","4.8","4.7","4.9","<.0001","-0.04"
"highest","5.2","5.1","5.3","5.0","4.9","5.1","<.0001","-0.03"
"region","","","","","","","",""
"atlantic","4.5","4.4","4.6","4.2","4.1","4.3","<.0001","-0.05"
"quebec","5.5","5.4","5.6","5.2","5.1","5.3","<.0001","-0.07"
"ontario","4.9","4.9","5.0","4.6","4.5","4.7","<.0001","-0.05"
"prairies","4.8","4.7","4.8","4.5","4.5","4.6","<.0001","-0.04"
"british columbia","5.0","4.9","5.1","4.7","4.6","4.8","<.0001","-0.04"
"territories","4.2","4.0","4.5","4.3","4.1","4.5","0.346","0.02"
"bmi","","","","","","","",""
"neither overweight nor obese","5.2","5.1","5.2","4.9","4.9","5.0","<.0001","-0.04"
"overweight","4.9","4.8","5.0","4.7","4.6","4.7","<.0001","-0.05"
"obese","4.7","4.6","4.8","4.4","4.3","4.5","<.0001","-0.05"
"excluding fruit juice","","","","","","","",""
"average","4.1","4.1","4.1","4.1","4.1","4.1","0.096","0.00"
"sex","","","","","","","",""
"male","3.6","3.6","3.7","3.6","3.6","3.7","0.381","0.00"
"female","4.5","4.5","4.6","4.5","4.5","4.6","0.680","0.00"
"age group","","","","","","","",""
"12 to 18","3.9","3.8","4.0","4.2","4.1","4.3","0.267","0.01"
"19 to 50","4.0","3.9","4.0","4.1","4.0","4.1","0.115","0.01"
"51 or older","4.3","4.2","4.3","4.1","4.1","4.2","<.0001","-0.02"
"household income quintile","","","","","","","",""
"lowest","3.8","3.8","3.9","3.8","3.7","3.9","0.061","-0.01"
"low-middle","4.0","4.0","4.1","4.0","3.9","4.0","0.071","-0.01"
"middle","4.1","4.0","4.2","4.1","4.0","4.2","0.894","0.00"
"high-middle","4.2","4.1","4.2","4.2","4.1","4.3","0.435","0.01"
"highest","4.3","4.3","4.4","4.4","4.4","4.5","0.015","0.02"
"region","","","","","","","",""
"atlantic","3.6","3.5","3.7","3.5","3.5","3.6","0.856","0.00"
"quebec","4.4","4.3","4.5","4.4","4.3","4.5","0.006","-0.02"
"ontario","4.0","4.0","4.1","4.0","4.0","4.1","0.421","0.00"
"prairies","4.0","3.9","4.0","4.0","3.9","4.1","0.641","0.00"
"british columbia","4.3","4.2","4.3","4.3","4.2","4.4","0.361","0.01"
"territories","3.3","3.1","3.5","3.6","3.4","3.8","0.001","0.05"
"bmi","","","","","","","",""
"neither overweight nor obese","4.2","4.1","4.2","4.3","4.2","4.3","0.128","0.01"
"overweight","4.0","3.9","4.1","4.0","4.0","4.1","0.636","0.00"
"obese","3.9","3.9","4.0","3.8","3.7","3.9","0.047","-0.01"
