"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"colon","2009-10","primera division","1","1","0","0","0","0","0","0","1","1"
"colon","2010-11","primera division","9","0","0","0","-","-","0","0","9","0"
"colon","2011-12","primera division","6","0","2","0","-","-","0","0","8","0"
"colon","2012-13","primera division","31","6","0","0","4","1","0","0","35","7"
"colon","2013-14","primera division","30","1","0","0","-","-","1","0","31","1"
"colon","2014","primera b nacional","6","1","2","0","-","-","0","0","8","1"
"colon","2015","primera division","0","0","0","0","-","-","0","0","0","0"
"colon","total","total","83","9","4","0","4","1","1","0","92","10"
"defensa y justicia","2015","primera division","2","0","0","0","-","-","0","0","2","0"
"santamarina","2015","primera b nacional","17","1","0","0","-","-","4","0","21","1"
"juventud unida","2016","primera b nacional","13","1","0","0","-","-","0","0","13","1"
"independiente rivadavia","2016-17","primera b nacional","29","1","0","0","-","-","0","0","29","1"
"platense","2017-18","primera b metropolitana","34","9","1","0","-","-","1","0","36","9"
"platense","2018-19","primera b nacional","4","2","2","0","-","-","0","0","6","2"
"platense","total","total","38","11","3","0","-","-","1","0","42","11"
"career total","career total","career total","182","23","7","0","4","1","6","0","199","24"
