"club","season","league","league","cup","cup","continental","continental","others","others","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"ofi","2002-03","4","0","-","-","-","-","-","-","4","0"
"ofi","2003-04","14","0","1","0","-","-","-","-","15","0"
"ofi","2004-05","27","0","2","0","-","-","-","-","29","0"
"ofi","2005-06","30","0","1","0","-","-","-","-","31","0"
"ofi","2006-07","30","0","3","0","-","-","-","-","33","0"
"ofi","total","105","0","7","0","-","-","-","-","112","0"
"olympiacos","2007-08","2","0","5","0","","","-","-","7","0"
"olympiacos","total","2","0","5","0","","","-","-","7","0"
"aris","2008-09","24","0","3","0","-","-","","","27","0"
"aris","2009-10","30","0","3","0","2","0","","","35","0"
"aris","2010-11","22","0","1","0","12","0","","","35","0"
"aris","2011-12","4","0","-","-","","","","","4","0"
"aris","total","80","0","7","0","14","0","","","101","0"
"charleroi","2012-13","10","0","1","0","","","-","-","11","0"
"charleroi","total","10","0","1","0","","","-","-","11","0"
"atromitos","2013-14","11","0","5","0","1","0","","","17","0"
"atromitos","total","11","0","5","0","1","0","","","17","0"
"levadiakos","2014-15","25","0","0","0","0","0","","","25","0"
"levadiakos","total","25","0","0","0","0","0","","","25","0"
"kortrijk","2015-16","8","0","3","0","","","-","-","11","0"
"kortrijk","2016-17","8","0","2","0","","","-","-","10","0"
"kortrijk","total","16","0","5","0","","","-","-","21","0"
"samsunspor","2017-18","6","0","1","0","","","-","-","7","0"
"samsunspor","total","6","0","1","0","","","-","-","7","0"
"career total","career total","255","0","31","0","15","0","","","301","0"
