"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"banfield","2015","primera division","4","0","1","0","-","-","0","0","5","0"
"banfield","2016","primera division","6","0","1","0","-","-","0","0","7","0"
"banfield","2016-17","primera division","24","0","1","0","1","0","0","0","26","0"
"banfield","2017-18","primera division","21","0","2","0","4","0","0","0","27","0"
"banfield","total","total","55","0","5","0","5","0","0","0","65","0"
"atlanta united","2018","mls","13","0","0","0","-","-","5","1","18","1"
"atlanta united","2019","mls","6","0","0","0","4","0","0","0","10","0"
"atlanta united","total","total","19","0","0","0","4","0","5","1","28","1"
"career total","career total","career total","74","0","5","0","9","0","5","1","93","1"
