"state","total","agriculture","energy","environment and natural resources","health","transportation","other"
"united statesa","2426883","136396","323154","452270","1082056","260025","172982"
"cancer prevention and research institute","201159","0","0","0","201159","0","0"
"institute for regenerative medicine","184983","0","0","0","184983","0","0"
"energy commission","165441","0","165441","0","0","0","0"
"mental health, office of","156275","0","0","0","156275","0","0"
"health, department of","89163","0","0","0","89163","0","0"
"development services agency","85775","0","14558","53616","3200","0","14400"
"health, department of","82781","368","0","2211","80202","0","0"
"roswell park cancer institute","71920","0","0","0","71920","0","0"
"energy research and development authority","53547","0","38192","10935","0","4420","0"
"fish and wildlife conservation commission","52150","0","0","52150","0","0","0"
"health, department of","46293","0","0","0","46293","0","0"
"economic development, department of","39780","246","5352","356","5367","0","28458"
"public utilities commission, executive division","37222","0","36822","0","0","0","400"
"transportation, department of","34906","0","0","0","0","34906","0"
"technology institute","27746","6858","0","36822","0","0","400"
"innovation inc","26858","0","0","0","17813","0","9045"
"natural resources, department of","26063","0","0","26063","0","0","0"
"community and economic development, department of","21600","1000","5000","0","5000","0","10600"
"environmental health hazard assessment, office of","17563","0","0","0","17563","0","0"
"health and human services","18563","0","0","0","18563","0","0"
"all other agencies","987094","127923","57790","298269","184554","220698","100328"
