"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"þor akureyri","1990","urvalsdeild karla","13","1","-","-","13","1","none","none","none","none"
"þor akureyri","1991","1. deild karla","16","2","-","-","16","2","none","none","none","none"
"þor akureyri","1992","urvalsdeild karla","18","1","-","-","18","1","none","none","none","none"
"þor akureyri","1993","urvalsdeild karla","17","0","-","-","17","0","none","none","none","none"
"þor akureyri","1994","urvalsdeild karla","15","2","-","-","15","2","none","none","none","none"
"þor akureyri","total","total","79","6","-","-","79","6","none","none","none","none"
"stoke city","1994-95","first division","23","1","1","0","0","0","0","0","24","1"
"stoke city","1995-96","first division","46","0","2","0","3","0","4","0","55","0"
"stoke city","1996-97","first division","45","0","1","0","4","0","0","0","50","0"
"stoke city","1997-98","first division","43","1","1","0","5","0","0","0","49","1"
"stoke city","1998-99","second division","38","4","2","0","1","0","2","0","43","4"
"stoke city","1999-2000","second division","5","1","0","0","2","0","0","0","7","1"
"stoke city","total","total","200","7","7","0","15","0","6","0","228","7"
"west bromwich albion","1999-2000","first division","27","0","1","0","0","0","0","0","28","0"
"west bromwich albion","2000-01","first division","12","0","0","0","0","0","1","0","13","0"
"west bromwich albion","2001-02","first division","43","1","4","0","3","0","0","0","50","1"
"west bromwich albion","2002-03","premier league","29","0","2","0","1","0","0","0","32","0"
"west bromwich albion","2003-04","first division","5","0","0","0","0","0","0","0","5","0"
"west bromwich albion","total","total","116","1","7","0","4","0","1","0","128","1"
"þor akureyri","2005","1. deild karla","15","1","-","-","15","1","none","none","none","none"
"þor akureyri","2006","1. deild karla","11","1","-","-","11","1","none","none","none","none"
"þor akureyri","2007","1. deild karla","13","2","-","-","13","2","none","none","none","none"
"þor akureyri","2008","1. deild karla","8","0","-","-","8","0","none","none","none","none"
"þor akureyri","2009","1. deild karla","5","0","-","-","5","0","none","none","none","none"
"þor akureyri","total","total","52","4","-","-","52","4","none","none","none","none"
"ia","2010","1. deild karla","2","0","-","-","2","0","none","none","none","none"
"career total","career total","career total","449","18","14","0","19","0","7","0","489","18"
