"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"walsall","1971-72","third division","15","2","5","3","0","0","20","5"
"everton","1971-72","first division","8","1","0","0","0","0","8","1"
"everton","1972-73","first division","3","1","0","0","0","0","3","1"
"everton","total","total","11","2","0","0","0","0","11","2"
"walsall","1972-73","third division","16","6","0","0","0","0","16","6"
"walsall","1973-74","third division","28","7","2","0","4","0","34","7"
"walsall","1974-75","third division","41","8","6","2","1","0","48","10"
"walsall","1975-76","third division","44","12","1","0","2","0","47","12"
"walsall","1976-77","third division","23","5","5","2","3","1","31","8"
"walsall","total","total","152","38","14","4","10","1","176","43"
"bradford city","1976-77","fourth division","20","3","0","0","0","0","20","3"
"bradford city","1977-78","third division","46","10","1","0","2","0","49","10"
"bradford city","total","total","66","13","1","0","2","0","69","13"
"port vale","1978-79","fourth division","46","14","1","0","1","1","48","15"
"port vale","1979-80","fourth division","30","9","1","0","2","0","33","9"
"port vale","total","total","76","23","2","0","3","1","81","24"
"career total","career total","career total","320","78","22","7","15","2","357","87"
