"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"blackpool","1989-90","third division","9","0","0","0","0","0","0","0","9","0"
"blackpool","1990-91","fourth division","31","1","3","0","2","0","5","1","41","2"
"blackpool","1991-92","fourth division","27","3","2","0","2","0","5","0","36","3"
"blackpool","1992-93","second division","45","11","2","0","4","0","3","0","54","11"
"blackpool","total","total","112","15","7","0","8","0","13","1","140","16"
"queens park rangers","1993-94","premier league","32","4","1","0","3","1","-","-","36","5"
"queens park rangers","1994-95","premier league","33","4","1","0","3","1","-","-","37","5"
"queens park rangers","1995-96","premier league","37","2","2","1","3","1","-","-","42","4"
"queens park rangers","1996-97","first division","39","3","4","1","2","0","-","-","45","4"
"queens park rangers","1997-98","first division","26","3","2","0","2","0","-","-","30","3"
"queens park rangers","total","total","167","16","10","2","13","3","-","-","190","21"
"west ham united","1997-98","premier league","14","7","-","-","14","7","none","none","none","none"
"west ham united","1998-99","premier league","36","7","2","0","2","0","-","-","40","7"
"west ham united","1999-2000","premier league","36","7","1","0","4","0","10","1","51","8"
"west ham united","2000-01","premier league","19","3","1","0","3","0","-","-","23","3"
"west ham united","2001-02","premier league","34","5","2","0","1","0","-","-","37","5"
"west ham united","2002-03","premier league","38","8","2","0","1","0","-","-","41","8"
"west ham united","total","total","177","37","8","0","11","0","10","1","206","38"
"manchester city","2003-04","premier league","29","1","4","0","2","0","3","1","38","2"
"manchester city","2004-05","premier league","4","1","0","0","1","0","-","-","5","1"
"manchester city","2005-06","premier league","31","3","3","0","0","0","-","-","34","3"
"manchester city","2006-07","premier league","18","0","2","0","1","0","-","-","21","0"
"manchester city","total","total","82","5","9","0","4","0","3","1","98","6"
"cardiff city","2007-08","championship","21","1","4","0","1","1","-","-","26","2"
"career total","career total","career total","559","74","38","2","37","4","26","3","660","83"
