"","donor rate","donor rate","donor rate","donor rate","average annual donation","average annual donation","average annual donation","average annual donation"
"","2013","2010","2007","2004","2013","2010","2007","2004"
"","percentage","percentage","percentage","percentage","amount","amount","amount","amount"
"canada","82","84","84","85","531","470","481","469"
"newfoundland and labrador","87","92","91","93","350","349","330","349"
"prince edward island","84","91","89","93","497","504","494","459"
"nova scotia","84","88","87","90","396","389","452","444"
"new brunswick","83","88","88","88","345","400","409","412"
"quebec","81","85","84","83","264","219","241","207"
"ontario","83","84","86","90","532","554","551","573"
"manitoba","84","86","87","84","699","547","572","533"
"saskatchewan","85","84","84","82","680","573","564","506"
"alberta","85","84","85","79","863","593","656","586"
"british columbia","78","80","79","77","704","573","557","547"
