"fiscal year","all federal obligations","research and development","r&d plant","facilities and equipment for instruction in s&e","fellowships, traineeships, and training grants","general support for s&e","other s&e activities"
"current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions"
"2012","31003","27495","434","4","914","142","2015"
"2013","29353","26106","271","4","893","132","1948"
"2014","31095","27591","400","11","1340","138","1616"
"2015","30494","27041","371","4","1348","136","1594"
"constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions"
"2012","29580","26233","414","4","872","135","1923"
"2013","27533","24487","254","4","838","124","1827"
"2014","28677","25446","369","10","1236","127","1490"
"2015","27747","24605","338","4","1227","124","1450"
