"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"walsall","1996-97","second division","2","0","0","0","0","0","0","0","2","0"
"walsall","1997-98","second division","33","1","4","0","6","0","5","1","48","2"
"walsall","1998-99","second division","43","2","2","0","2","0","5","1","52","3"
"walsall","1999-2000","first division","35","1","2","0","4","1","-","-","41","2"
"walsall","2000-01","second division","36","5","3","0","3","0","1","0","43","5"
"walsall","2001-02","first division","13","1","3","1","1","0","-","-","17","1"
"walsall","total","total","162","10","14","0","16","1","11","2","203","13"
"hull city","2002-03","third division","36","4","0","0","1","0","0","0","37","4"
"hull city","2003-04","third division","14","0","0","0","1","0","2","0","17","0"
"hull city","total","total","50","4","0","0","2","0","2","0","54","4"
"kidderminster harriers","2003-04","third division","8","2","0","0","0","0","0","0","8","2"
"kidderminster harriers","2004-05","league two","41","5","1","0","1","0","1","0","44","5"
"kidderminster harriers","total","total","49","7","1","0","1","0","1","0","52","7"
"lincoln city","2005-06","league two","21","4","1","0","2","0","0","0","24","4"
"walsall","2005-06","league one","14","2","0","0","0","0","0","0","14","2"
"walsall","2006-07","league two","39","13","2","0","2","0","0","0","43","13"
"walsall","total","total","53","15","2","0","2","0","0","0","57","15"
"peterborough united","2007-08","league two","40","5","3","0","2","0","0","0","45","5"
"peterborough united","2008-09","league one","38","5","5","0","1","0","0","0","44","5"
"peterborough united","2009-10","championship","6","1","0","0","1","0","-","-","7","1"
"peterborough united","total","total","84","11","8","0","4","0","0","0","96","11"
"wycombe wanderers","2009-10","league one","13","1","0","0","0","0","0","0","13","1"
"wrexham","2010-11","conference premier","42","6","0","0","-","-","0","0","42","6"
"wrexham","2011-12","conference premier","31","2","2","0","-","-","0","0","33","2"
"wrexham","2012-13","conference premier","41","2","1","0","-","-","7","1","49","3"
"wrexham","2013-14","conference premier","27","2","2","0","-","-","1","0","30","2"
"wrexham","2014-15","conference premier","19","1","1","0","-","-","6","0","26","1"
"wrexham","total","total","160","13","6","0","-","-","14","1","180","14"
"rhyl","2015-16","welsh premier league","22","1","0","0","0","0","0","0","22","1"
"rushall olympic","2016-17","northern premier league","7","0","2","0","0","0","0","0","9","0"
"career total","career total","career total","621","66","34","0","27","1","42","3","724","70"
