"team","from","to","regular season record","regular season record","regular season record","post-season record","post-season record","post-season record"
"team","from","to","w","l","win %","w","l","win %"
"st. louis cardinals","1925","1926","153","116",".569","4","3",".571"
"new york giants","1927","1927","22","10",".688","-","-","-"
"boston braves","1928","1928","39","83",".320","-","-","-"
"chicago cubs","1930","1932","141","116",".549","-","-","-"
"st. louis browns","1933","1937","233","352",".398","-","-","-"
"st. louis browns","1952","1952","22","29",".431","-","-","-"
"cincinnati reds","1952","1953","91","106",".462","-","-","-"
"total","total","total","701","812",".463","4","3",".571"
"reference:","reference:","reference:","reference:","reference:","reference:","reference:","reference:","reference:"
