"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"san lorenzo","2008-09","primera division","1","0","0","0","-","-","0","0","0","0","1","0"
"san lorenzo","2009-10","primera division","10","0","0","0","-","-","4","0","0","0","14","0"
"san lorenzo","2010-11","primera division","1","0","0","0","-","-","0","0","1","0","none","none"
"san lorenzo","2011-12","primera division","26","0","0","0","-","-","0","0","26","0","none","none"
"san lorenzo","2012-13","primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"san lorenzo","2013-14","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"san lorenzo","total","total","38","0","0","0","-","-","4","0","0","0","42","0"
"independiente rivadavia","2010-11","primera b nacional","16","1","0","0","-","-","0","0","16","1","none","none"
"instituto","2012-13","primera b nacional","28","2","2","1","-","-","0","0","30","3","none","none"
"atletico tucuman","2013-14","primera b nacional","27","2","0","0","-","-","0","0","27","2","none","none"
"ferro carril oeste","2014","primera b nacional","11","2","1","0","-","-","0","0","12","2","none","none"
"ferro carril oeste","2015","primera b nacional","39","4","3","0","-","-","0","0","42","4","none","none"
"ferro carril oeste","total","total","50","6","4","0","-","-","0","0","54","6","none","none"
"arsenal de sarandi","2016","primera division","15","2","0","0","-","-","0","0","15","2","none","none"
"arsenal de sarandi","2016-17","primera division","12","0","3","0","-","-","1","0","0","0","16","0"
"arsenal de sarandi","total","total","27","2","3","0","-","-","1","0","0","0","31","0"
"sarmiento","2017-18","primera b nacional","5","1","2","0","-","-","0","0","7","1","none","none"
"sarmiento","total","total","5","1","2","0","-","-","0","0","7","1","none","none"
"career total","career total","career total","191","14","11","1","-","-","5","0","0","0","207","15"
