"selected incident characteristics","women","women","women","men","men","men"
"selected incident characteristics","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval"
"selected incident characteristics","percent","from","to","percent","from","to"
"location of incident","","","","","",""
"in a restaurant or bar","20","15","25","25","19","33"
"in a commercial or office building","14","11","18","12","8","18"
"in an institutional building","5","3","8","12","7","22"
"on the street, in a park, in a parking lot or on public transportation","43","38","49","32","24","40"
"in a private residence","9","5","14","13","7","22"
"other","10","7","13","6","3","13"
"number of perpetrators","","","","","",""
"one","81","77","85","81","73","86"
"more than one","18","15","23","18","13","25"
"sex of perpetrator","","","","","",""
"male","93","89","95","56","47","65"
"female","3","2","4","32","24","42"
"multiple perpetrators, both male and female","4","2","7","8","4","16"
"relationship of perpetrator to victim","","","","","",""
"family member, spouse, partner","3","1","9","f","f","f"
"friend, neighbour or acquaintance","19","15","24","34","25","44"
"other known person","7","5","11","14","8","23"
"stranger or person known by sight only","70","65","75","46","37","56"
"incident related to perpetrator's use of alcohol or drugs","","","","","",""
"yes","63","58","68","59","49","68"
"no","21","18","26","31","22","41"
"do not know","15","11","19","9","5","15"
