"","men","men","women","women"
"","coefficient","standard error","coefficient","standard error"
"age group","","","",""
"35 to 44","-0.033","0.007","-0.028","0.010"
"45 to 54","-0.074","0.008","-0.069","0.012"
"marital status","","","",""
"single or never married","-0.003","0.009","-0.019","0.012"
"separated, divorced or widowed","-0.025","0.014","-0.021","0.016"
"number of children younger than 6","","","",""
"one","0.024","0.009","0.023","0.013"
"two","0.022","0.012","0.001","0.019"
"three or more","0.000","0.034","-0.114","0.053"
"visible minority status","-0.062","0.009","-0.025","0.014"
"aboriginal identity","-0.085","0.027","-0.045","0.036"
"immigrant status","0.016","0.010","0.019","0.015"
"highest certificate, diploma or degree","","","",""
"college, cegep or other non-university certificate or diploma or university certificate below a bachelor's degree","-0.177","0.007","-0.126","0.010"
"university degree above a bachelor's degree","0.031","0.009","0.046","0.013"
"location of study","0.106","0.010","0.140","0.014"
"stem field of study","","","",""
"physical and chemical sciences","-0.080","0.013","-0.101","0.018"
"biological, general and integrated sciences","-0.316","0.009","-0.315","0.011"
"mathematics and computer and information sciences","0.129","0.007","-0.037","0.013"
"area of residence","","","",""
"newfoundland and labrador","0.015","0.028","-0.097","0.032"
"prince edward island","-0.011","0.054","0.013","0.067"
"nova scotia","-0.059","0.019","-0.080","0.024"
"new brunswick","-0.007","0.021","-0.080","0.027"
"quebec","0.011","0.008","0.052","0.012"
"manitoba","0.040","0.019","0.050","0.027"
"saskatchewan","0.039","0.023","0.084","0.034"
"alberta","0.091","0.010","0.040","0.014"
"british columbia","0.017","0.010","0.002","0.014"
"territories","0.038","0.054","0.109","0.073"
