"social isolation measure","men","men","men","women","women","women"
"social isolation measure","mean survival time","95% confidence interval","95% confidence interval","mean survival time","95% confidence interval","95% confidence interval"
"social isolation measure","(days)","from","to","(days)","from","to"
"low participation","","","","","",""
"yes","1,570","1,469","1,672","1,630","1,543","1,716"
"no","1,714","1,642","1,786","1,877","1,821","1,934"
"difference","144","..","..","247","..",".."
"subjective isolation","","","","","",""
"yes","1,601","1,437","1,764","1,667","1,538","1,796"
"no","1,680","1,616","1,743","1,824","1,772","1,875"
"difference","79","..","..","156","..",".."
